id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,6.989799976317754e-08,3.045600650902447e-08,6.491655013491301e-11,2.5098779840994592e-05,2.165783512285234e-08,7.543680237609163e-08,2.7116366279801085e-09,8.636256671778374e-09,1.2327809596898349e-09,2.6581098203565737e-07,2.098710777504636e-07,5.5610475150986614e-11,4.714128892127498e-09,1.874536282916902e-08,1.6985256164688055e-07,1.1949644661063146e-08,1.2883958539893423e-05,8.31960454541684e-11,1.1195067759335701e-07,3.926818215125172e-08,9.857867935730743e-07,1.3961532662410835e-08,6.090966258279251e-07,9.750299949267382e-10,1.6791633655347289e-09,3.1791276650509984e-09,7.237938695590482e-05,7.760607310524525e-06,5.897453632375681e-08,1.2602953970807343e-08,9.140360653417737e-13,2.1014350220155288e-05,3.6568664752379266e-06,3.841375681432479e-06,6.5197715329015355e-09,2.685398079241721e-07,1.4771509715226396e-08,8.3287144660293e-12,4.418993994982779e-07,2.2353902530718874e-08,8.983322095830763e-11,5.444191382175301e-07,8.019362314197823e-08,6.120650267049998e-09,6.819565636966413e-07,1.6082887392425758e-07,0.00013297917197826548,1.4140540818672477e-12,1.6144805286663062e-10,4.5469174698919603e-07,2.3591290318993604e-07,0.9993651113696805,9.02675211637557e-10,3.8397857267308847e-07,8.260031508202896e-08,2.068992720878291e-05,1.2742384887595586e-05,7.859477581204697e-12,7.746380411519333e-10,7.2207044103088234e-09,1.9711115403522103e-07,5.3981265761137196e-08,7.115051747581633e-08,1.033987638465299e-08,5.1332114886964955e-05,1.5929103280323727e-07,8.961742014354363e-08,8.127301940343125e-13,4.151119047240562e-09,3.22491870075804e-06,1.9391228883233944e-10,1.5696952481777993e-09,7.832771373884838e-07,1.1579552603479357e-12,5.4196672209803236e-05,1.1510921716106224e-05,1.1134131080460168e-10,2.510232804272526e-07,4.1225689788533325e-05,1.4925109467602037e-07,5.568498062317369e-08,1.7354049706376815e-10,4.5353032035317366e-09,7.687356131821563e-05,6.218740392157692e-05,6.888600893710067e-11,1.9426429571519452e-11,7.023470516877198e-11,1.234444963242432e-05,5.645657327003764e-10,3.572445733555938e-07,3.818639809189283e-08,4.266615537493793e-09,2.1696555690385406e-08,1.682417319338224e-09,6.896102092321608e-11,3.911731908732223e-11,5.658535558376805e-07,2.2570814877580167e-09
7,1.3428897686016662e-08,3.638744371353075e-08,9.374417546232475e-07,1.047820612914516e-05,1.966804217843503e-08,6.611418726749489e-08,6.528200721012039e-05,6.406496383073513e-09,1.5942443016151297e-08,1.4704298236109434e-07,1.0985134320144918e-09,1.646298863507679e-09,4.573394262748347e-09,1.1756410523328146e-09,1.729179348055792e-08,1.3066583905109743e-08,3.6248028284481266e-09,5.4095738605312365e-06,3.1458345876547168e-09,4.421773511015822e-05,7.563921667493158e-08,1.7563138063272684e-09,8.569735518919075e-09,3.845561338154051e-09,8.963087619423902e-09,9.449986865671686e-09,2.8052181885460114e-07,2.461328719113329e-07,8.879884775356232e-08,5.3626784501597475e-11,1.09467013754421e-07,2.9331160189783358e-08,6.75524062446643e-08,7.0579923355092485e-09,3.7114406010611357e-07,5.76331429120867e-10,3.6496255337248406e-05,1.3822807712093745e-08,6.113614495038959e-07,4.775896686471082e-06,2.1314393729001863e-07,2.7014779021956306e-07,4.185401018686403e-07,5.180389137347154e-07,7.3538020709488195e-09,4.593296112080872e-06,1.1207324204278051e-09,1.4653083349265286e-05,9.433326493855711e-08,1.32816513470853e-09,0.9996488074912055,7.172247745690857e-08,6.358010067892267e-08,3.1379380672619236e-07,2.3140675918919463e-07,1.8894183406152006e-06,3.523188050514067e-08,2.6627487523844355e-07,1.5013286326493077e-06,4.770608546067354e-07,9.86567590939877e-07,2.2062589045102324e-07,5.026954248346818e-09,1.1133581271388383e-06,5.290405509459561e-10,3.4715832437416864e-08,1.6307714026413045e-09,2.2576612442214583e-08,4.591308553611997e-07,8.846615345040854e-05,5.2754759661667394e-11,2.7395836072207806e-09,4.35517446482195e-09,4.115244779042537e-08,1.0633899063892116e-10,7.527952580449028e-09,2.8331872031337365e-05,4.5445088251643347e-08,1.6385255340440466e-07,2.8333186307304676e-07,7.301980275654077e-09,1.5197873481676822e-07,3.672506320553225e-06,3.6094753418120265e-06,1.303046205084089e-06,5.055617772802699e-07,6.537718688609841e-07,4.463807473122401e-06,8.82079024913967e-11,1.4290441070225548e-07,1.1684923249007832e-07,9.703978635058035e-10,1.926741061540747e-10,1.6703794653919924e-11,8.563150804684047e-06,3.390146558881905e-08,1.213835698244243e-05,1.5562132266470435e-09,1.3434345750579762e-07
9,1.4927486000153769e-06,0.9959849845309541,2.420192387609384e-07,1.4209319872408179e-05,0.0014650268546172165,8.077237354703508e-06,5.221147736115026e-07,8.031928940187658e-05,0.00017015850652513852,3.534997111132771e-05,4.186566178305663e-07,9.714461531560937e-05,6.852002206911408e-07,7.987651467370728e-07,1.3068514808697427e-05,4.0813259380573095e-05,0.0009599730468223536,3.1996648562824384e-09,6.695667594577062e-08,1.4493027995511743e-05,1.4451744056723592e-07,5.846828203719085e-07,1.363381271762823e-09,2.9001591694057306e-09,7.07405536643663e-10,4.3961350341744745e-05,4.255782963547884e-05,1.7542267709716969e-09,1.5241207753978282e-08,5.722703133844493e-08,5.1547960575960285e-09,2.124653086113711e-07,1.5529919003358605e-05,8.215252303401734e-06,3.3100531108306905e-09,8.847172147554487e-06,3.389933003058543e-08,1.9080976602064414e-08,8.817444997105356e-09,8.202298576547452e-06,1.6672281242406494e-07,5.499647603297846e-07,3.2739749218620696e-08,7.03277087264011e-09,1.1148418309179108e-06,2.7365528443846547e-09,2.0806948873881002e-08,3.271868601601623e-07,7.646055326806537e-06,3.396194448664611e-06,2.2654601882644852e-07,3.6943785323048297e-09,2.2390245154659985e-07,9.657468082916054e-07,5.006300059763669e-07,2.6849583824297436e-08,5.969852722348037e-05,2.003424886305494e-08,2.8910810661042654e-09,1.5860950331950537e-08,3.285543462405011e-06,2.4582323087300183e-09,1.9658096398778715e-06,6.044852467301872e-07,4.116178713065756e-07,3.9124921018171324e-07,3.2356368736326125e-07,1.0788423952944161e-09,5.317038832995444e-10,9.346068157190169e-07,2.0044028552840577e-08,4.902907167891412e-08,1.492993018814501e-07,4.795862994852616e-06,4.4571948276469225e-06,4.42018562857063e-07,5.6356444626733375e-09,1.3017927865500537e-06,2.019065910285315e-06,3.439220662829634e-07,9.396289878102328e-08,6.372408840196164e-10,8.612577475679024e-10,9.743136581503148e-07,2.3067222800095836e-06,1.4201881665466692e-05,4.872474944401568e-08,5.486550592030981e-07,1.3799192170618753e-07,2.277591448652014e-06,6.705611641902609e-08,3.419035659571822e-07,1.1044853803813471e-07,4.916997511103341e-08,6.076278564687836e-08,4.65126137992949e-06,3.691694605126613e-10,4.65507952610087e-08,0.0008613745820866786
12,5.731611095467014e-07,0.0009790448894463947,5.361036903139644e-07,3.079791057420369e-06,1.092045306655302e-06,3.457285626356679e-08,2.4182303892263004e-05,5.827301131406404e-06,4.718720808151859e-05,2.5386074979904583e-05,2.3717964972280506e-08,5.976883410040715e-05,0.00022741570782252806,0.0011904571992102525,7.053661014214089e-05,1.030254464616023e-05,1.421901181119923e-06,6.987414802402913e-05,3.435550932754774e-08,0.9866507248485187,1.1821192066928976e-06,5.102143566856721e-09,2.727575659715303e-07,1.8564301131769518e-09,1.8115924014050762e-08,1.812440009057393e-07,0.00017893902958101795,7.009853395815947e-08,1.6753905252787155e-09,6.60668478183574e-10,5.9099208153351395e-09,3.5873835189620076e-08,2.4518178766702093e-06,4.412344789462309e-07,2.1830063489159027e-08,7.36187068602632e-08,2.136212957660494e-05,3.5257477228596937e-07,4.248159449226853e-07,5.7723290036575154e-08,1.9005237820176463e-07,0.0004101796980266583,4.674913340436625e-08,2.4882186442092033e-07,2.0667358629960323e-07,5.137506741507162e-07,6.268274550609586e-09,0.0015617861936884198,3.532682623872757e-05,9.099859958283884e-08,5.7078746989576406e-06,3.3872262245307207e-09,9.458134201397574e-07,6.188440736501068e-07,1.7830667015768203e-06,2.0673867938367462e-07,2.98669514898953e-08,2.56280491790208e-06,1.2681635356003262e-05,3.647220507998833e-07,9.58791068134976e-07,6.503108559250189e-09,3.2183141424741623e-06,1.5230267599453445e-05,7.279690906741226e-09,1.3421386059330864e-06,1.0449973580497128e-07,1.3236697388259374e-07,2.721246429303253e-08,3.581574233539423e-08,4.206079419521313e-09,1.0207696391828988e-08,5.254660880561675e-09,4.600531970191787e-07,4.867916659720275e-08,2.701382665516483e-07,6.515832218913229e-08,5.450338390376239e-06,1.766317523320773e-06,2.074885300477568e-06,2.1721844571912448e-06,2.6561893340444047e-08,3.654299025990777e-06,2.4613949511647092e-06,1.951805450244217e-06,7.603781666122916e-05,9.423871655001941e-07,7.683094235897924e-07,3.8797173011961825e-09,3.176267279549734e-06,2.3433195594403953e-07,7.98239910463513e-07,3.372609020794687e-08,3.450048427953782e-08,1.977942487574159e-05,0.008022272162227988,1.3997821140400542e-07,5.2143366914316424e-08,0.00022733786599465056
13,1.6216937640466892e-07,3.1497987883296475e-07,4.1347670678957626e-10,1.1120918976952275e-08,1.0298017309375622e-07,6.062785737602222e-10,4.0362308155544447e-07,2.7353085086226218e-08,2.7700913127224094e-05,8.879950347134285e-07,2.354773637190941e-08,0.00012237106028986611,3.2936079193764715e-07,6.0124274703456175e-06,0.9997581354181868,6.617424603850841e-08,1.2366855812027014e-05,1.5587856119393834e-08,4.415023383958586e-08,3.496902833844177e-08,2.9137909066106068e-06,1.3236692369002038e-10,6.434331829492823e-08,1.1320738902323946e-10,5.517574052715789e-09,8.530107558593266e-09,1.4595347979205157e-06,1.0969645616717365e-09,1.1289581140322377e-09,2.9199857330138977e-11,9.339966046045631e-11,1.0013262143120653e-10,1.8446743733290442e-09,1.6145137202576457e-08,4.3903775333761184e-12,2.3049037528329438e-07,1.947489229778707e-09,3.0469085865357487e-11,4.1545401247998025e-09,4.0000099326840525e-11,2.546150535959046e-10,4.5551520214054585e-08,1.824804034265674e-10,1.3667531978528305e-08,4.948357556317821e-10,3.296346279261549e-12,9.917658630771344e-10,4.7778917730010585e-08,1.576651821841344e-05,8.590381628388019e-06,1.4495080823028323e-10,5.173253962157752e-10,6.55483587091474e-08,6.890059414418421e-08,2.1355396074683503e-08,1.66028589234582e-09,2.3923114244428906e-09,1.8228748130147475e-10,2.401033055910343e-10,3.2378644483224613e-10,1.63312458132518e-08,2.860435338526451e-10,8.790098426862829e-09,1.8447291985882953e-07,5.653540031447043e-10,2.2256602837664312e-09,1.1700724499262978e-09,6.56702664272758e-11,5.692686608281808e-11,8.579898328565463e-10,2.425112070080361e-09,5.316899183439391e-08,1.2293551215433537e-10,9.37648988000534e-10,3.628065075813356e-07,1.3727714614562178e-08,1.8700499525178148e-11,6.222052895678885e-08,4.089176890281793e-07,1.955161327493538e-07,2.553475017349697e-08,6.246375366777041e-12,5.590507511496003e-09,3.898298633456205e-08,4.6624626828717324e-09,6.270747849716222e-10,2.5586142053711606e-09,5.500175692672515e-11,2.7300896685409767e-09,3.5335143330992653e-07,1.6086457564119895e-09,3.7903178925444245e-06,5.7547646213412825e-09,5.448781319874129e-06,9.804359915879569e-07,2.946265840966987e-05,1.077353912909941e-08,1.3376392131662328e-07,6.925810366454404e-08
16,0.00011581591600397237,8.499281204743526e-06,3.341167151413996e-05,0.9319587801040581,7.93911638776926e-06,1.7919985325895941e-06,0.00015665891094660962,0.00010433759938369859,1.4444945324203263e-05,1.2286647751969396e-06,1.1294519009786145e-05,5.124007426731566e-06,0.00018797036360757903,3.2381139388851515e-06,7.822782307805818e-05,1.5976204765443714e-05,1.7385784188957284e-05,0.0003002518886721278,6.700396287360388e-05,0.0021722193193610107,7.71445063380416e-05,1.3986622589447737e-05,1.8840508259045564e-05,7.576776345958867e-07,0.0001355420985643316,4.663836528255384e-05,0.0007434051843966433,0.00021206742089770723,1.4749413072143655e-05,2.4358593757574697e-08,0.00010798368343348137,7.523211588238987e-05,0.0002612900798034571,9.124787196242723e-06,3.2623004436462634e-05,6.607958203557032e-06,0.0003070659153367783,4.540455759157489e-06,2.4302794797379917e-05,2.1904424898086976e-05,0.0001265573706266747,0.0006784978543872519,0.00016028057006865917,0.010033187531157197,2.127323284426927e-05,0.0002572750373672688,1.1573916206671202e-05,9.541500194281968e-06,2.6944111060975247e-06,8.21656074925976e-05,0.0003549856211722361,2.075799111141807e-05,0.00648609599738494,9.277265541207649e-06,2.393112550523169e-06,2.360950206934953e-05,6.174586385110042e-06,0.00023990021416938826,0.005964589705403982,2.4592359860648077e-05,0.0002495711935946844,3.119672003032281e-06,0.0005262087212615377,6.262975566667863e-05,4.0158476560162463e-07,0.00011479882287239866,3.1539308413978776e-06,8.476921854686514e-05,0.0005201591663946338,0.00022332485326411632,5.68821344760721e-07,2.3326947018285934e-05,1.7007816134946378e-06,0.0003047774430139501,3.3206242364190637e-07,7.093347612067326e-05,8.482116815460804e-05,3.6292542061301265e-05,1.3177746860033417e-06,0.0006871256784403083,1.4223118656947752e-07,0.0009239693899373308,3.148091406783852e-05,0.002906677885245919,1.623227426839092e-05,0.0007273465462512768,0.02676705553552538,2.804340813300755e-05,8.334126622723e-07,0.000604597712311711,0.00023406350140736676,0.00010261852430187812,1.1731697205573671e-05,1.3344929524231553e-05,0.0020776466509440455,8.309361677337802e-05,0.0001327984903871524,0.0002697328531206999,0.00017840185512991378
19,5.091873425477773e-05,8.49982961328861e-06,2.527190411944598e-05,0.9932512141673281,9.613590081073476e-07,4.857407321318231e-07,3.0105048260874786e-05,1.839068853090446e-06,1.3312514976584777e-06,4.371331061394239e-07,1.9015012067302412e-05,4.7545264786577573e-07,9.493449350847661e-05,2.4798395262693574e-07,1.7545688624838966e-06,3.277456784255924e-06,1.0758212627145145e-05,2.8850918969042394e-06,5.124272584640222e-06,0.00013629414927313218,3.86759697216964e-05,3.925971947317099e-06,9.031952886639145e-07,3.023306323975902e-07,6.501013042729909e-06,2.02805256599556e-05,1.055887050917796e-05,1.4653817262682807e-06,6.443155669342652e-06,3.1186619563833815e-08,1.0535810215715369e-05,4.8911880064423524e-05,9.302629087933336e-05,6.654690636241939e-07,1.648633282003942e-06,9.288327443856733e-07,0.00014560287454544192,9.499963624524919e-07,3.22964251838247e-05,3.22204048078374e-05,6.838872222863162e-07,6.229690311421477e-05,5.710199123101501e-06,0.00022218571306461467,1.0678149323514447e-05,4.761442284351581e-05,7.932833771324382e-06,7.377506242305177e-07,7.067059830320036e-07,2.694372796420116e-06,0.0013599612253631216,1.5171577861090536e-05,6.465826718369409e-05,1.221003321362872e-05,5.531309594758128e-07,1.1542572150519937e-05,8.142885642226347e-06,1.7401824196344954e-06,0.0002436077135272281,6.21234505727681e-06,0.000499940013945203,5.66790147114349e-07,9.176983608752595e-06,3.4857956518992595e-06,1.2863376705361777e-06,0.00021992387986853427,1.427651653499333e-07,1.1682447437951449e-06,0.00016588518532006274,4.2302846515981196e-05,6.374445272442332e-08,1.3428586802458362e-06,1.4225869813703296e-07,4.854573562589423e-06,8.503882266992899e-08,1.0171951750632222e-05,8.144110363596814e-05,7.269783298158848e-06,9.762247200130686e-08,6.714209520506717e-05,3.035384224856463e-08,0.0001750631722483229,1.0315129180027207e-06,6.624726115732934e-06,1.4162329714848585e-05,0.00011995452685313872,6.473685264212011e-05,6.167414284488882e-05,1.760773260764948e-08,9.946904171399872e-06,9.807549014674684e-05,8.563328521604557e-06,1.6568544799695193e-06,7.472363047707389e-07,0.0016561023380203522,2.064408250688075e-06,2.0581260672825286e-05,4.396051150036713e-06,0.0004513350099657259
23,2.2061905301871417e-08,4.3578957668532454e-06,1.3723360366521797e-05,3.789913263171685e-05,7.038070516865599e-07,0.00026251547553573227,1.1685444963599902e-05,9.821907269497449e-08,2.376097473123554e-09,4.641020599971494e-07,2.8257357542570247e-08,2.7475135871836943e-07,6.51576011416941e-08,1.4130147364902568e-08,3.812341096223333e-08,0.001314330469182968,7.490745002976203e-09,5.572960174121885e-08,2.9334175400576946e-06,7.278908426157158e-07,1.5053259506833706e-05,2.7184297183977484e-07,4.4932094230822426e-07,1.4173995331050159e-06,5.296654643864314e-06,1.4378737415430203e-06,5.154991624186353e-07,1.407115501620758e-06,0.9970692908186138,0.0007673494414408184,8.600709567612993e-05,1.6108224417424038e-09,4.3584131101051905e-07,2.2091557068812935e-07,7.306728583084174e-07,2.94512165700999e-06,1.1337509958507237e-07,3.7601374520312e-06,2.267650063518974e-06,4.967884414640303e-06,9.095491332757228e-08,5.948072257975025e-11,0.00013409457096432337,1.511620366505043e-07,1.2344754950508957e-08,7.626370206405783e-09,4.635025912961627e-09,4.318683585083552e-09,3.852715409075526e-09,2.1203726059239146e-08,4.710761617625804e-07,3.647668256797274e-06,7.750359217772091e-08,8.733912954450358e-08,1.2651791630536846e-06,8.530545128925224e-05,6.587376644497889e-06,3.279033769133582e-07,1.586095416878648e-09,9.150916217752085e-09,1.5839005850056392e-06,2.2960194390571773e-06,9.030214005752535e-07,7.847782138628173e-07,5.314868778651444e-08,1.057060476871057e-06,8.28021571658512e-06,8.00075159902367e-07,5.452052365513073e-08,4.7053215383814006e-05,1.2690551567540318e-05,1.8517693109153564e-06,8.412200292132068e-07,9.385580461388898e-07,2.514058409950752e-09,1.6426113367617524e-08,1.3332462855468683e-05,2.268750440409108e-07,5.948320552306239e-08,1.1409227235275091e-05,8.816866985797482e-06,5.532696301175818e-07,3.324854647864394e-08,9.026211823140016e-11,1.4199516988892064e-06,5.60903365990742e-09,2.325813925718779e-08,2.9706622812997413e-05,2.1862728437885943e-07,5.7349954239268576e-08,3.854084068308287e-07,9.930536945395381e-08,1.0338586291427791e-07,1.6482658407032883e-07,2.468354730066914e-09,8.984344901621744e-10,4.5435277953358175e-07,9.91820584198415e-09,7.651711081189783e-06
24,5.945103338353332e-06,4.508061602006416e-07,1.521390067066324e-07,6.887170637106017e-08,1.3566472674003318e-07,6.350241348779373e-06,1.290864922855519e-06,4.9332775180109e-08,6.48857002021209e-05,1.4249114594992887e-07,6.138429309594436e-07,5.862667007058529e-10,3.0117926046140263e-09,2.133102551490488e-09,2.1407414626648915e-09,1.819571865139917e-07,1.6116016175837736e-06,8.367097336400316e-08,8.835501627198593e-10,1.969858027419661e-06,1.073352097371958e-06,4.237565831007759e-09,2.654565008288921e-11,1.9164983439839392e-08,4.282048591811697e-11,1.823417928078161e-08,5.320492888874131e-06,2.1224040924042455e-08,5.377281858651919e-11,4.3961959055749653e-10,7.997344027137792e-12,2.2421372270690773e-05,3.4829633008687634e-06,9.696446832744524e-07,3.7830461727695575e-07,4.7674851351393774e-09,1.8721279294553505e-07,4.115916027361042e-07,1.0059843412187825e-07,2.2538824006431498e-05,6.1845941719647705e-09,9.817229594150832e-09,3.475074178436928e-08,4.389071185631436e-09,2.154189791896412e-07,7.958267459985622e-07,3.422975159871154e-10,5.662258926453097e-09,4.7472124855246247e-11,1.4479429229518443e-08,7.479099283343313e-09,3.790332390457104e-07,1.91412557024501e-10,1.6931641646659078e-11,3.850932567556092e-08,5.673272666670041e-08,9.20000648356357e-10,2.0076847536061995e-09,6.479531923779195e-07,6.3157372804046065e-06,2.0132702880223563e-07,1.9764592745389773e-09,2.535438044634869e-09,5.300491621107531e-09,9.331588277299265e-09,1.36032193328316e-07,1.2104452533167416e-09,1.1895585292775831e-11,1.0027983502691949e-08,4.95295429631713e-06,5.674737489589481e-10,4.907206628471062e-10,1.6186786017757835e-06,2.375335609143359e-10,1.9987043196810414e-07,6.632969329049495e-09,5.52375932772316e-09,4.4453201268910795e-08,8.979097937000379e-07,5.647603615250685e-07,2.648347656122803e-09,6.902548282109385e-09,4.0671260092054967e-07,2.2631981150819238e-07,0.9998397991876801,5.645668669035738e-09,7.26953499534694e-11,1.6914092393801742e-08,8.439551951295758e-10,6.807380103537667e-07,3.3013814889864585e-08,1.2461097788479132e-09,1.1173584387705485e-08,3.9041875638281744e-10,7.120509777276771e-07,5.496218325389854e-09,4.3351523615332586e-11,4.317268366670478e-10,1.3787801480993827e-09
28,7.806879634979143e-05,2.6550519696913435e-05,3.417502562453046e-07,2.273991175407239e-06,1.93306399940459e-06,1.1388111692871871e-07,6.2222841787974575e-06,0.00010198776643491544,0.9992723467740253,4.414350290263942e-07,1.1854780895464948e-05,3.926970284878446e-05,3.121426521687534e-05,7.967809966462358e-07,3.3309824642073786e-05,2.79438140934116e-06,2.8673816584795803e-05,1.1553104147624297e-05,1.5332916912464824e-07,1.2826929720296918e-05,1.2682231656951246e-06,3.2334762486385276e-09,4.466643540450096e-09,7.788843183715153e-10,2.498384319512446e-09,4.311936969682389e-08,4.206295981523606e-06,3.678771353766905e-09,3.7001179670158005e-09,5.988007173171058e-10,2.324397997064947e-09,3.393399938057756e-08,8.270620916985939e-06,1.5732132485442716e-05,1.6782571568573706e-08,7.603193328375967e-07,1.3901059926652776e-08,8.21843126870781e-09,1.1250940514804568e-08,4.87861345964217e-08,3.752078805890985e-08,3.9838741843004346e-07,1.7874064008968844e-08,6.364633736870279e-09,1.1889601272151668e-06,5.931906399336656e-09,1.803846001898548e-08,7.06263413989533e-08,1.8009474523716617e-06,2.0160221260377216e-06,2.0475631540168047e-08,1.6710271764795423e-09,1.513951693378e-07,4.960243496356626e-07,3.485217046362324e-07,6.944269374400891e-07,7.175289361299763e-08,3.5832202442590026e-09,1.634816741212415e-07,6.691176408349692e-08,3.959982767231043e-07,3.4376708103307253e-09,3.4533463709114744e-07,7.914691391620889e-08,1.209954669399563e-07,6.20396462477875e-07,6.717780633452062e-09,7.004078411672129e-10,1.5101550043739766e-08,3.5671040149758166e-07,1.5203865464327145e-08,3.1720973627544904e-09,9.203608281378517e-09,1.0897125446426609e-07,1.0231746528201745e-06,3.182718937498287e-07,4.1765542298104866e-10,9.928073917710617e-08,3.137800845444635e-06,3.37898013072316e-07,1.577468439966684e-07,1.0730847677343913e-08,2.2896411164713353e-07,2.126603964263227e-06,2.7037293277517437e-05,1.8718124518391583e-06,6.196199898593334e-07,3.0650749182856504e-08,4.555056358431633e-09,1.2326214779238206e-05,4.364586668020793e-07,4.998254773088398e-06,2.52451545096071e-07,3.846774201022582e-06,0.0002297108865232492,6.254087302002416e-06,6.377198718568006e-11,3.811017451309309e-09,2.344126484808401e-06
